feature,coefficient
IsActiveMember,2.597637422228318
Exited,-2.4810299060280716
Balance,2.1100471112164776
NumOfProducts,1.9496329085478625
SatisfactionScore,-1.4847832640497876
CardType_ohe_0,0.7759445106163086
PointEarned,-0.737271494140833
CardType_ohe_1,-0.6020965960192547
Tenure,-0.5820600627177116
EstimatedSalary,-0.499002827103854
Age,0.4965320831107873
Geography_ohe_1,0.34285419260702354
Gender_ohe_2,-0.300282192574557
Gender_ohe_1,0.27356856880513264
Gender_ohe_0,-0.27356856792676215
Geography_ohe_0,-0.2514890844877285
HasCrCard,-0.23446736630025766
CardType_ohe_2,0.13034840469513104
Geography_ohe_2,-0.05444686182334444
