CreditScore,PredictedCreditScore,Age,Balance,EstimatedSalary,NumOfProducts,Geography,Gender,Exited,IsActiveMember,residual
502,650.7415874992852,42,159660.8,113931.57,3,France,Female,1,0,-148.74158749928517
822,654.644969384832,50,0.0,10062.8,2,France,Male,0,1,167.35503061516795
501,661.699350746585,44,142051.07,74940.5,2,France,Male,0,1,-160.69935074658497
549,648.2279150382884,25,0.0,190857.79,2,France,Female,0,0,-99.22791503828842
726,654.5125898510453,24,0.0,54724.03,2,France,Female,0,1,71.48741014895472
669,654.2907602479213,46,0.0,8487.75,2,France,Male,0,1,14.709239752078702
411,659.4369900154965,29,59697.17,53483.21,2,France,Male,0,1,-248.43699001549646
475,646.1587278775022,45,134264.04,27822.99,1,France,Female,1,0,-171.1587278775022
776,660.2412796125325,32,109421.13,126517.46,2,Germany,Female,0,1,115.75872038746752
829,646.6454151427713,27,112045.67,119708.21,1,Germany,Female,1,1,182.3545848572287
637,649.6777607767813,39,137843.8,117622.8,1,Germany,Female,1,1,-12.67776077678127
776,654.9969792159745,37,103769.22,194099.12,2,Germany,Female,0,0,121.00302078402547
585,652.7177535935175,36,146050.97,86424.57,2,Germany,Male,0,0,-67.7177535935175
619,650.8666337373166,43,125211.92,113410.49,1,France,Male,0,1,-31.866633737316647
555,648.8006236621817,33,56084.69,178798.13,2,Spain,Male,0,0,-93.80062366218169
675,643.1658581600702,21,98373.26,18203.0,1,France,Female,0,0,31.83414183992977
678,648.473292027051,32,0.0,148210.64,1,France,Female,0,1,29.526707972948998
665,649.3505398536394,40,0.0,161848.03,1,France,Female,0,1,15.649460146360639
562,646.8440895700949,42,100238.35,86797.41,1,France,Male,0,0,-84.84408957009487
668,649.6683146047658,37,167864.4,115638.29,1,Germany,Female,0,0,18.331685395234217
506,650.9437012726714,41,0.0,31766.3,2,France,Female,0,0,-144.94370127267143
524,643.4497351080794,31,107818.63,199725.39,1,Germany,Female,1,0,-119.44973510807938
770,645.9021211899834,24,101827.07,167256.35,1,France,Male,0,0,124.0978788100166
795,655.338933225924,33,130862.43,114935.21,1,Germany,Female,0,1,139.66106677407595
716,647.0417690063596,42,0.0,180800.42,2,Spain,Male,0,0,68.95823099364043
717,656.6100294225168,22,101060.25,84699.56,1,Spain,Female,0,1,60.389970577483155
683,647.0091855625074,29,133702.89,55582.54,1,Spain,Male,1,0,35.990814437492645
667,643.1751146656424,39,0.0,40721.24,2,Spain,Female,1,0,23.824885334357646
628,650.0320345994348,27,95826.49,155996.96,2,Germany,Male,0,0,-22.032034599434837
636,651.896944444018,42,0.0,55470.78,2,France,Male,0,1,-15.896944444018004
687,653.5301550224383,34,111388.18,148564.76,2,Germany,Female,0,0,33.469844977561706
512,652.7643176152259,33,176666.62,94670.77,1,Spain,Male,0,0,-140.76431761522588
603,654.1563811299527,31,0.0,169915.02,2,France,Male,0,1,-51.156381129952706
592,646.1534404130841,54,0.0,28737.71,1,France,Male,1,1,-54.15344041308413
671,647.2703631648944,45,99564.22,108872.45,1,Germany,Male,1,1,23.729636835105566
662,648.64228686413,38,0.0,136259.65,2,Spain,Male,0,0,13.357713135869972
696,641.7245535055041,28,0.0,176713.47,1,Spain,Male,0,0,54.275446494495895
693,655.7761671094596,30,127992.25,50457.2,1,France,Female,0,1,37.22383289054039
726,646.903723829389,48,99906.19,64323.24,1,Spain,Female,0,0,79.09627617061096
682,655.4681402093872,26,110654.02,111879.21,1,France,Female,0,1,26.53185979061277
498,654.3274398265179,34,0.0,148528.24,2,France,Male,0,1,-156.3274398265179
549,642.306622863239,39,0.0,81259.25,1,Spain,Female,1,0,-93.306622863239
744,657.8735665300463,26,166297.89,181694.44,1,Spain,Female,0,1,86.12643346995367
747,652.2884355124729,41,94521.17,194926.86,2,Spain,Female,0,0,94.71156448752708
583,650.6058753087231,27,0.0,51285.49,2,France,Male,0,0,-67.60587530872306
714,654.6162951919617,31,125169.26,106636.89,1,France,Female,0,1,59.38370480803826
511,660.023438209237,58,149117.31,162599.51,1,France,Male,0,1,-149.02343820923704
652,658.9692795945189,80,0.0,188603.07,2,France,Female,0,1,-6.969279594518866
642,650.2481203070382,38,0.0,171463.83,2,France,Male,0,0,-8.24812030703822
763,649.5435654060223,31,0.0,50404.72,2,France,Female,0,0,113.45643459397775
485,644.0151284489756,29,182123.79,116828.51,1,France,Male,1,0,-159.0151284489756
649,647.6837785106569,33,0.0,2010.98,2,France,Male,0,0,1.3162214893430928
659,647.3417561227448,31,118342.26,161574.19,1,France,Male,0,0,11.658243877255245
654,657.9177596898883,32,114510.85,126143.23,1,Germany,Female,0,1,-3.917759689888271
636,656.8338430271189,34,40105.51,53512.16,2,Germany,Male,0,1,-20.83384302711886
745,658.186260319106,45,117231.63,122381.02,3,Germany,Male,1,1,86.81373968089395
492,656.3104226215154,30,77168.87,146700.22,2,Germany,Female,0,1,-164.3104226215154
557,649.5430966015028,33,54503.55,371.05,1,France,Male,0,1,-92.54309660150284
537,648.4045206498805,41,138306.34,106761.47,1,Germany,Female,0,0,-111.40452064988051
487,645.6538925838167,61,110368.03,11384.45,1,Germany,Female,1,0,-158.65389258381674
492,651.4866458043516,39,124576.65,148584.61,2,Germany,Male,0,0,-159.4866458043516
702,653.1730523166578,45,80793.58,27474.81,1,France,Male,0,1,48.826947683342155
762,651.0702932139773,51,99286.98,85578.63,1,France,Female,0,1,110.92970678602273
745,653.0721094124276,46,122220.19,118024.1,1,France,Male,0,1,91.92789058757239
501,652.1969151755612,40,125832.2,100433.83,1,France,Male,0,1,-151.19691517556123
494,651.670830290585,38,174937.64,40084.32,1,Germany,Female,0,0,-157.67083029058495
662,651.4047014020108,32,133950.37,48725.68,1,France,Female,1,1,10.5952985979892
703,644.6054730304081,37,149762.08,20629.4,1,France,Male,1,0,58.39452696959188
785,645.2364574807735,28,0.0,77231.27,2,France,Male,0,0,139.76354251922646
605,655.5316322377515,31,117992.59,183598.77,1,Germany,Female,0,1,-50.53163223775152
658,656.0094764280672,29,80262.6,20612.82,1,France,Male,0,1,1.9905235719328402
615,639.5972594870436,61,0.0,150227.85,2,Spain,Male,1,0,-24.59725948704363
714,661.6110809514249,55,180075.22,100127.71,1,Germany,Female,0,1,52.388919048575076
622,651.5511882259444,32,169089.38,101057.95,2,France,Female,0,0,-29.55118822594443
638,653.5225608191136,44,77637.35,111346.22,2,Spain,Male,0,1,-15.52256081911355
543,644.7757542362297,41,0.0,194902.16,1,Spain,Female,0,0,-101.77575423622966
691,650.0736397235021,30,116927.89,21198.39,1,Germany,Male,0,0,40.92636027649792
632,649.7213665779009,38,86569.76,98090.91,2,Germany,Female,0,0,-17.72136657790088
735,649.9444485920078,34,0.0,71095.41,2,Spain,Male,0,0,85.0555514079922
605,652.3877098417626,51,136188.78,67110.59,1,France,Female,1,1,-47.38770984176256
779,656.4850535292528,37,120092.52,135925.72,2,Germany,Male,0,0,122.51494647074719
698,655.2723773306623,48,101238.24,177815.87,2,France,Male,1,1,42.727622669337734
639,653.1698510509378,35,128173.9,59093.39,2,Germany,Male,0,0,-14.169851050937837
508,658.0917232896879,49,122451.46,75808.1,2,France,Male,0,1,-150.09172328968793
574,646.1619137654242,33,129834.67,193131.42,1,Germany,Male,0,0,-72.16191376542417
598,641.661260453999,41,91536.93,191468.78,1,Germany,Male,1,0,-43.661260453999034
651,637.9707548161928,45,0.0,67740.08,1,France,Male,1,0,13.029245183807234
439,647.9309120984066,32,138901.61,75685.97,1,Spain,Female,0,0,-208.93091209840657
701,646.7020610641144,36,0.0,169161.46,2,Spain,Male,0,0,54.297938935885554
607,650.56832177903,33,108431.87,109291.39,2,Spain,Female,1,1,-43.56832177903004
547,647.6804789294023,30,72392.41,77077.14,1,Germany,Female,0,0,-100.68047892940228
526,647.3671970489247,36,0.0,160696.72,1,France,Male,0,0,-121.36719704892471
713,651.0326185845918,38,144606.22,56594.36,1,Germany,Female,1,1,61.96738141540823
666,655.3555777961805,34,115897.12,25095.03,1,France,Female,0,1,10.644422203819545
685,644.1656408760475,43,0.0,107811.28,2,Spain,Male,0,0,40.83435912395248
687,652.8713303469603,72,0.0,69829.4,1,France,Female,0,1,34.12866965303965
605,658.8996476420372,64,129555.7,13601.79,1,France,Female,0,1,-53.899647642037166
754,654.7003859362347,39,170184.99,89593.26,2,Spain,Male,0,0,99.29961406376526
752,647.1797223955076,49,78653.84,7698.6,1,France,Male,0,0,104.82027760449239
799,652.2811099926078,28,142253.65,45042.56,1,Spain,Female,0,0,146.71889000739225
839,647.9491518902717,33,75592.43,62674.42,1,Spain,Female,0,0,191.05084810972835
850,642.4504037304129,31,67996.23,50129.87,2,France,Male,1,0,207.54959626958714
706,646.652970253769,29,112564.62,42334.38,1,France,Female,0,0,59.34702974623099
673,640.0894821319589,34,42157.08,20598.59,1,France,Female,1,0,32.9105178680411
438,647.4780485616192,36,0.0,64420.5,2,France,Female,0,0,-209.47804856161918
668,652.0925075077466,42,150461.07,108139.23,1,France,Male,0,0,15.907492492253368
751,649.0562090376307,30,0.0,15766.1,2,France,Female,0,0,101.94379096236935
624,658.4160157436766,48,122388.38,30020.09,2,Germany,Female,0,0,-34.41601574367655
667,655.7806512181298,42,0.0,58137.42,2,France,Male,0,1,11.219348781870167
640,658.9398221803903,32,118879.35,19131.71,2,Spain,Female,0,1,-18.93982218039025
664,650.7955889622359,57,0.0,15304.08,2,France,Male,0,1,13.204411037764089
445,646.2435697121529,62,64119.38,76569.64,1,Spain,Male,1,1,-201.24356971215286
626,651.8559848972936,35,88109.81,32825.5,1,Germany,Male,0,1,-25.855984897293638
540,653.9098222591455,48,148116.48,116973.48,1,France,Male,0,0,-113.90982225914547
650,652.3330802713231,25,86605.5,16649.31,3,Spain,Female,1,0,-2.3330802713230696
554,648.8744220563378,37,58629.97,182038.6,1,Germany,Female,0,0,-94.87442205633783
459,652.9583330951602,42,129634.25,177683.02,2,Spain,Female,1,1,-193.95833309516024
673,650.4384550306312,40,137494.28,81753.92,1,France,Female,0,0,22.56154496936881
618,655.4771768680566,24,128736.39,37147.61,1,France,Female,0,1,-37.47717686805663
650,656.0747005352546,60,0.0,102925.76,2,France,Male,0,1,-6.074700535254578
844,645.8892646867718,18,160980.03,145936.28,1,France,Male,0,0,198.11073531322825
758,650.4087340194756,47,95523.16,73294.48,1,Germany,Female,0,0,107.59126598052444
600,651.1402730534138,43,134022.06,194764.83,1,France,Female,0,0,-51.14027305341381
767,650.9379303888201,36,139180.2,123880.19,1,France,Male,0,0,116.06206961117994
639,646.5263988178265,27,0.0,192247.35,2,France,Male,0,0,-7.526398817826475
704,653.1437519652218,48,167997.6,173498.45,1,Spain,Male,0,1,50.85624803477822
611,653.0762407005086,49,0.0,142917.54,2,France,Male,0,1,-42.076240700508606
654,642.1274285749388,29,0.0,180345.44,1,France,Male,0,0,11.87257142506121
683,659.2828574105098,35,187530.66,37976.36,2,France,Female,0,1,23.71714258949021
614,657.2609237726515,31,120599.38,46163.44,2,Germany,Female,0,1,-43.260923772651495
681,659.2487714282714,65,134714.7,190419.81,2,Spain,Male,0,1,21.751228571728575
600,651.0143033676871,36,0.0,143635.36,2,Spain,Male,0,0,-51.01430336768715
634,658.456195461351,37,111432.77,167032.49,2,Germany,Male,0,1,-24.456195461350944
