feature,importance
Age,0.29553148300498594
NumOfProducts,0.20851640954571513
Balance,0.07505335486105608
IsActiveMember,0.0639422898849499
CreditScore,0.06187623828947885
PointEarned,0.05430646264875486
EstimatedSalary,0.05414334162287779
Tenure,0.042506975116457325
Geography_ohe_1,0.035003186848957334
SatisfactionScore,0.02533116658894232
Gender_ohe_0,0.012258321300773303
Gender_ohe_1,0.011733554176368668
Geography_ohe_0,0.011573048098719965
HasCrCard,0.009390651102814965
Geography_ohe_2,0.008389628380669022
Gender_ohe_2,0.00795673406049058
CardType_ohe_0,0.007644793485993677
CardType_ohe_2,0.007550059468521041
CardType_ohe_1,0.007292301513473313
