AgeGroup,CardType,Total,Churned,ChurnRate
18-29,DIAMOND,408,30,7.35
18-29,GOLD,434,28,6.45
18-29,PLATINUM,404,29,7.18
18-29,SILVER,395,37,9.37
30-39,DIAMOND,1074,123,11.45
30-39,GOLD,1075,109,10.14
30-39,PLATINUM,1087,119,10.95
30-39,SILVER,1110,122,10.99
40-49,DIAMOND,684,233,34.06
40-49,GOLD,643,197,30.64
40-49,PLATINUM,641,199,31.05
40-49,SILVER,650,178,27.38
50-59,DIAMOND,213,124,58.22
50-59,GOLD,190,104,54.74
50-59,PLATINUM,235,128,54.47
50-59,SILVER,231,131,56.71
60+,DIAMOND,128,36,28.12
60+,GOLD,160,44,27.5
60+,PLATINUM,128,33,25.78
60+,SILVER,110,34,30.91
